ano,dimensao,nivel,regiao,uf,sigla,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
2018,faixa_etaria,Estado,Região Norte,Rondônia,RO,357,45,29,37,144,381,491,683,1066,1432,1636,1848,16,8165
2018,faixa_etaria,Estado,Região Norte,Acre,AC,273,49,24,40,125,297,278,348,471,620,668,895,6,4094
2018,faixa_etaria,Estado,Região Norte,Amazonas,AM,1253,257,122,144,513,1316,1280,1403,1968,2575,3023,3822,34,17710
2018,faixa_etaria,Estado,Região Norte,Roraima,RR,266,54,26,35,114,276,222,222,322,403,371,472,4,2787
2018,faixa_etaria,Estado,Região Norte,Pará,PA,2134,359,227,266,1166,3289,3025,3234,4349,5984,7099,9101,280,40513
2018,faixa_etaria,Estado,Região Norte,Amapá,AP,294,40,17,30,143,334,235,289,395,454,475,639,0,3345
2018,faixa_etaria,Estado,Região Norte,Tocantins,TO,323,66,25,45,178,483,535,568,863,1166,1438,2085,20,7795
2018,faixa_etaria,Regiao,Região Nordeste,,,11314,1806,990,1500,7138,18434,19560,25118,37900,52622,66881,100152,554,343969
2018,faixa_etaria,Estado,Região Nordeste,Maranhão,MA,1649,329,169,228,680,1976,2315,2657,3615,5425,6732,8687,63,34525
2018,faixa_etaria,Estado,Região Nordeste,Piauí,PI,735,120,55,92,271,864,1105,1393,2075,2926,4010,6266,71,19983
2018,faixa_etaria,Estado,Região Nordeste,Ceará,CE,1594,261,155,273,1347,3351,3258,3942,5690,7977,10836,18310,34,57028
2018,faixa_etaria,Estado,Região Nordeste,Rio Grande do Norte,RN,564,98,56,77,520,1211,1128,1465,2316,3125,3966,6679,4,21209
2018,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,703,116,64,83,426,1033,1238,1861,2841,3902,5546,8821,10,26644
2018,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1714,293,144,200,1103,2972,3283,4566,7253,10044,12585,17680,174,62011
2018,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,658,114,63,115,472,1066,1111,1475,2380,3296,3923,4738,0,19411
2018,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,576,71,48,60,279,798,831,1025,1541,2012,2341,3441,1,13024
2018,faixa_etaria,Estado,Região Nordeste,Bahia,BA,3121,404,236,372,2040,5163,5291,6734,10189,13915,16942,25530,197,90134
2018,faixa_etaria,Regiao,Região Sudeste,,,12813,2041,1016,1438,6122,17090,22915,37845,72682,110918,126598,185107,1553,598138
2018,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2889,477,267,409,1365,3837,5567,9131,16476,23865,28399,42866,71,135619
2018,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,600,103,72,100,392,905,1127,1637,2926,4069,4557,6988,24,23500
2018,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2794,452,215,299,2017,5222,5357,8366,16885,27160,29084,41959,896,140706
2018,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,6530,1009,462,630,2348,7126,10864,18711,36395,55824,64558,93294,562,298313
2018,faixa_etaria,Regiao,Região Sul,,,3935,638,332,473,2012,6043,7665,12182,23708,37766,46128,62682,170,203734
2018,faixa_etaria,Estado,Região Sul,Paraná,PR,1613,297,138,190,810,2499,3132,4892,8609,13406,16603,21565,94,73848
2018,faixa_etaria,Estado,Região Sul,Santa Catarina,SC,950,123,70,104,399,1266,1591,2616,5251,7736,9060,12099,3,41268
2018,faixa_etaria,Estado,Região Sul,Rio Grande do Sul,RS,1372,218,124,179,803,2278,2942,4674,9848,16624,20465,29018,73,88618
2018,faixa_etaria,Regiao,Região Centro-Oeste,,,2902,514,264,355,1447,4009,4945,6934,10677,15216,17602,21468,136,86469
2018,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,502,98,55,74,201,604,782,1226,2069,2987,3446,4547,9,16600
2018,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso,MT,713,147,75,81,306,959,1155,1541,2399,3249,3664,3878,38,18205
2018,faixa_etaria,Estado,Região Centro-Oeste,Goiás,GO,1234,212,100,156,756,1960,2311,3131,4748,6964,8148,9707,80,39507
2018,faixa_etaria,Estado,Região Centro-Oeste,Distrito Federal,DF,453,57,34,44,184,486,697,1036,1461,2016,2344,3336,9,12157
2019,faixa_etaria,Regiao,Região Norte,,,4744,938,479,602,2188,5900,5892,6695,9540,13473,15511,19417,307,85686
2019,faixa_etaria,Estado,Região Norte,Rondônia,RO,311,56,33,37,135,385,516,695,1095,1462,1647,1952,14,8338
2019,faixa_etaria,Estado,Região Norte,Acre,AC,259,57,38,27,103,260,280,322,457,631,730,916,18,4098
2019,faixa_etaria,Estado,Região Norte,Amazonas,AM,1241,247,110,158,509,1470,1292,1477,1984,2816,3095,3899,29,18327
2019,faixa_etaria,Estado,Região Norte,Roraima,RR,264,64,34,25,97,208,214,248,338,406,434,445,2,2779
2019,faixa_etaria,Estado,Região Norte,Pará,PA,2094,397,202,265,1021,2867,2857,3061,4396,6393,7568,9257,221,40599
2019,faixa_etaria,Estado,Região Norte,Amapá,AP,289,58,29,31,156,305,226,276,407,524,545,677,1,3524
2019,faixa_etaria,Estado,Região Norte,Tocantins,TO,286,59,33,59,167,405,507,616,863,1241,1492,2271,22,8021
2019,faixa_etaria,Regiao,Região Nordeste,,,11035,1700,1009,1442,5800,16202,18668,24909,38868,54713,70088,107813,554,352801
2019,faixa_etaria,Estado,Região Nordeste,Maranhão,MA,1627,293,149,224,610,1778,2300,2635,3642,5465,6981,9372,52,35128
2019,faixa_etaria,Estado,Região Nordeste,Piauí,PI,702,101,52,83,266,807,1102,1398,2110,3033,4055,6792,27,20528
2019,faixa_etaria,Estado,Região Nordeste,Ceará,CE,1580,256,179,219,809,2326,2767,3727,5900,8247,11200,19326,44,56580
2019,faixa_etaria,Estado,Região Nordeste,Rio Grande do Norte,RN,547,84,57,68,386,1014,1066,1449,2437,3207,4351,7101,0,21767
2019,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,752,121,68,91,298,908,1244,1869,2882,4181,5645,9293,26,27378
2019,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1633,248,139,230,978,2744,3142,4524,7439,10416,13474,19100,228,64295
2019,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,659,122,73,94,381,984,1013,1501,2444,3498,4213,5304,1,20287
2019,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,565,63,39,57,244,735,782,989,1515,2141,2550,3793,0,13473
2019,faixa_etaria,Estado,Região Nordeste,Bahia,BA,2970,412,253,376,1828,4906,5252,6817,10499,14525,17619,27732,176,93365
2019,faixa_etaria,Regiao,Região Sudeste,,,12707,2072,1038,1353,5609,17085,23223,38349,72208,114520,131281,195570,1228,616243
2019,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2942,501,269,347,1238,3790,5858,9387,16698,24705,29572,45663,52,141022
2019,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,585,108,40,91,388,942,1080,1675,2920,4374,4763,7454,11,24431
2019,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2737,443,235,292,1841,5094,5427,8469,16553,27900,30874,44036,699,144600
2019,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,6443,1020,494,623,2142,7259,10858,18818,36037,57541,66072,98417,466,306190
2019,faixa_etaria,Regiao,Região Sul,,,3953,606,376,479,1817,5803,7414,12031,23808,38614,46990,64047,148,206086
2019,faixa_etaria,Estado,Região Sul,Paraná,PR,1582,283,146,187,750,2513,2976,4784,8756,13586,16828,22091,84,74566
2019,faixa_etaria,Estado,Região Sul,Santa Catarina,SC,942,126,89,110,377,1216,1581,2678,5295,8063,9332,12460,13,42282
2019,faixa_etaria,Estado,Região Sul,Rio Grande do Sul,RS,1429,197,141,182,690,2074,2857,4569,9757,16965,20830,29496,51,89238
2019,faixa_etaria,Regiao,Região Centro-Oeste,,,2854,506,264,348,1287,3872,4787,6973,11010,15502,18170,23291,121,88985
2019,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,485,88,53,74,211,601,795,1192,2104,2972,3540,4687,13,16815
2019,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso,MT,747,143,60,102,305,903,1097,1614,2402,3297,3572,4073,26,18341
2019,faixa_etaria,Estado,Região Centro-Oeste,Goiás,GO,1260,201,116,134,607,1880,2208,3158,4906,7107,8508,10858,82,41025
2019,faixa_etaria,Estado,Região Centro-Oeste,Distrito Federal,DF,362,74,35,38,164,488,687,1009,1598,2126,2550,3673,0,12804
2020,faixa_etaria,Regiao,Região Norte,,,4386,799,430,602,2031,5868,6668,8759,12778,19016,21715,25673,289,109014
2020,faixa_etaria,Estado,Região Norte,Rondônia,RO,336,46,31,50,134,437,647,915,1396,1913,2080,2275,18,10278
2020,faixa_etaria,Estado,Região Norte,Acre,AC,243,41,30,33,125,258,334,399,539,848,895,1089,26,4860
2020,faixa_etaria,Estado,Região Norte,Amazonas,AM,1051,207,108,142,471,1368,1455,2028,2962,4437,4832,5668,36,24765
2020,faixa_etaria,Estado,Região Norte,Roraima,RR,264,45,29,38,92,220,252,358,443,602,610,625,2,3580
2020,faixa_etaria,Estado,Região Norte,Pará,PA,1976,360,185,267,944,2730,3106,3872,5821,8953,10681,12556,192,51643
2020,faixa_etaria,Estado,Região Norte,Amapá,AP,264,40,16,26,112,382,318,446,582,753,787,891,0,4617
2020,faixa_etaria,Estado,Região Norte,Tocantins,TO,252,60,31,46,153,473,556,741,1035,1510,1830,2569,15,9271
2020,faixa_etaria,Regiao,Região Nordeste,,,9997,1407,863,1338,6311,18870,21720,30334,47240,66999,84751,125499,590,415919
2020,faixa_etaria,Estado,Região Nordeste,Maranhão,MA,1458,259,135,210,763,2098,2669,3240,4679,7055,8951,11706,48,43271
2020,faixa_etaria,Estado,Região Nordeste,Piauí,PI,628,97,67,93,264,941,1207,1667,2418,3694,4788,7735,47,23646
2020,faixa_etaria,Estado,Região Nordeste,Ceará,CE,1417,208,122,240,1115,3405,3564,4721,7366,10276,13944,23117,17,69512
2020,faixa_etaria,Estado,Região Nordeste,Rio Grande do Norte,RN,492,63,48,62,307,1105,1217,1677,2947,3724,5011,8018,3,24674
2020,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,715,80,44,87,326,1000,1448,2204,3486,4742,6489,10478,8,31107
2020,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1493,233,141,204,993,3061,3606,5525,9057,13151,16604,22228,278,76574
2020,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,579,81,60,77,408,1088,1247,1934,3043,4401,5242,5984,4,24148
2020,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,505,63,29,48,246,743,872,1187,1984,2707,3031,4375,3,15793
2020,faixa_etaria,Estado,Região Nordeste,Bahia,BA,2710,323,217,317,1889,5429,5890,8179,12260,17249,20691,31858,182,107194
2020,faixa_etaria,Regiao,Região Sudeste,,,11074,1500,774,1200,5389,17831,26253,45483,84262,137199,154575,216273,1246,703059
2020,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2582,383,203,316,1251,3832,5976,10080,18145,27653,32463,49186,58,152128
2020,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,525,88,51,80,384,1039,1283,2088,3552,5610,5901,8420,90,29111
2020,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2508,347,156,260,1569,5042,6234,10682,20582,35208,38660,50300,637,172185
2020,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,5459,682,364,544,2185,7918,12760,22633,41983,68728,77551,108367,461,349635
2020,faixa_etaria,Regiao,Região Sul,,,3404,483,269,412,1605,6175,8040,13286,26157,43091,51165,67582,139,221808
2020,faixa_etaria,Estado,Região Sul,Paraná,PR,1361,210,129,189,698,2708,3400,5409,10045,15820,18611,23916,77,82573
2020,faixa_etaria,Estado,Região Sul,Santa Catarina,SC,913,116,54,100,334,1270,1726,2881,5960,9112,10496,13469,13,46444
2020,faixa_etaria,Estado,Região Sul,Rio Grande do Sul,RS,1130,157,86,123,573,2197,2914,4996,10152,18159,22058,30197,49,92791
2020,faixa_etaria,Regiao,Região Centro-Oeste,,,2578,397,246,328,1306,4209,5483,8626,13665,19885,22527,27651,123,107024
2020,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,451,79,49,69,168,633,922,1435,2364,3541,4100,5223,17,19051
2020,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso,MT,689,132,70,102,335,1083,1356,2028,3230,4377,4721,5250,24,23397
2020,faixa_etaria,Estado,Região Centro-Oeste,Goiás,GO,1054,148,91,125,670,1984,2445,3841,5987,8990,10338,12608,77,48358
2020,faixa_etaria,Estado,Região Centro-Oeste,Distrito Federal,DF,384,38,36,32,133,509,760,1322,2084,2977,3368,4570,5,16218
2021,faixa_etaria,Regiao,Região Norte,,,4642,866,437,584,2017,6600,7893,11077,15863,22167,23133,25809,266,121354
2021,faixa_etaria,Estado,Região Norte,Rondônia,RO,314,55,22,38,153,580,861,1370,2186,2882,2788,2777,16,14042
2021,faixa_etaria,Estado,Região Norte,Acre,AC,280,49,20,42,100,254,341,534,750,937,1039,1133,17,5496
2021,faixa_etaria,Estado,Região Norte,Amazonas,AM,1161,249,113,147,551,1760,1994,2728,3862,5408,5249,5831,27,29080
2021,faixa_etaria,Estado,Região Norte,Roraima,RR,269,88,32,26,93,297,343,452,630,762,662,645,7,4306
2021,faixa_etaria,Estado,Região Norte,Pará,PA,2020,314,192,250,842,2792,3276,4441,6363,9408,10398,11682,188,52166
2021,faixa_etaria,Estado,Região Norte,Amapá,AP,299,47,21,42,142,396,371,470,636,784,728,814,0,4750
2021,faixa_etaria,Estado,Região Norte,Tocantins,TO,299,64,37,39,136,521,707,1082,1436,1986,2269,2927,11,11514
2021,faixa_etaria,Regiao,Região Nordeste,,,10053,1446,858,1255,5782,18724,24030,36132,54672,73475,88902,127990,553,443872
2021,faixa_etaria,Estado,Região Nordeste,Maranhão,MA,1470,265,126,230,678,2082,2892,3836,5190,7436,8972,11408,69,44654
2021,faixa_etaria,Estado,Região Nordeste,Piauí,PI,632,86,63,74,254,971,1382,2049,2901,4208,5415,8131,46,26212
2021,faixa_etaria,Estado,Região Nordeste,Ceará,CE,1287,211,116,198,979,3170,3930,5582,8834,11509,14735,23102,30,73683
2021,faixa_etaria,Estado,Região Nordeste,Rio Grande do Norte,RN,531,53,39,70,245,1079,1405,2136,3387,4226,5307,8285,8,26771
2021,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,708,104,61,67,325,1128,1732,2831,4298,5425,6933,11058,8,34678
2021,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1567,223,116,167,956,2841,4008,6357,10501,14279,17184,22305,213,80717
2021,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,652,102,59,80,351,1066,1338,2105,3389,4733,5194,6015,6,25090
2021,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,438,71,40,42,174,750,911,1472,2245,2914,3238,4379,1,16675
2021,faixa_etaria,Estado,Região Nordeste,Bahia,BA,2768,331,238,327,1820,5637,6432,9764,13927,18745,21924,33307,172,115392
2021,faixa_etaria,Regiao,Região Sudeste,,,11046,1646,902,1217,4757,19886,33883,62865,111576,170441,184558,239682,1275,843734
