ano,nivel,regiao,uf,sigla,total_obitos
2025,Estado,Região Nordeste,Alagoas,AL,22936
2025,Estado,Região Nordeste,Bahia,BA,106299
2025,Estado,Região Nordeste,Ceará,CE,63900
2025,Estado,Região Nordeste,Maranhão,MA,40933
2025,Estado,Região Nordeste,Paraíba,PB,30547
2025,Estado,Região Nordeste,Pernambuco,PE,70510
2025,Estado,Região Nordeste,Piauí,PI,23221
2025,Estado,Região Nordeste,Rio Grande do Norte,RN,23350
2025,Estado,Região Nordeste,Sergipe,SE,14580
2025,Estado,Região Norte,Acre,AC,4239
2025,Estado,Região Norte,Amapá,AP,3988
2025,Estado,Região Norte,Amazonas,AM,20375
2025,Estado,Região Norte,Pará,PA,46744
2025,Estado,Região Norte,Rondônia,RO,10559
2025,Estado,Região Norte,Roraima,RR,3368
2025,Estado,Região Norte,Tocantins,TO,9640
2025,Estado,Região Sudeste,Espírito Santo,ES,29401
2025,Estado,Região Sudeste,Minas Gerais,MG,159772
2025,Estado,Região Sudeste,Rio de Janeiro,RJ,152284
2025,Estado,Região Sudeste,São Paulo,SP,354757
2025,Estado,Região Sul,Paraná,PR,87816
2025,Estado,Região Sul,Rio Grande do Sul,RS,98034
2025,Estado,Região Sul,Santa Catarina,SC,52126
2025,Regiao,Região Centro-Oeste,,,105209
2025,Regiao,Região Nordeste,,,396276
2025,Regiao,Região Norte,,,98913
2025,Regiao,Região Sudeste,,,696214
2025,Regiao,Região Sul,,,237976
2026,Estado,Região Centro-Oeste,Distrito Federal,DF,5168
2026,Estado,Região Centro-Oeste,Goiás,GO,15375
2026,Estado,Região Centro-Oeste,Mato Grosso,MT,8128
2026,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,6978
2026,Estado,Região Nordeste,Alagoas,AL,7739
2026,Estado,Região Nordeste,Bahia,BA,34752
2026,Estado,Região Nordeste,Ceará,CE,23087
2026,Estado,Região Nordeste,Maranhão,MA,15331
2026,Estado,Região Nordeste,Paraíba,PB,11092
2026,Estado,Região Nordeste,Pernambuco,PE,23417
2026,Estado,Região Nordeste,Piauí,PI,8112
2026,Estado,Região Nordeste,Rio Grande do Norte,RN,8054
2026,Estado,Região Nordeste,Sergipe,SE,5338
2026,Estado,Região Norte,Acre,AC,1510
2026,Estado,Região Norte,Amapá,AP,1390
2026,Estado,Região Norte,Amazonas,AM,6918
2026,Estado,Região Norte,Pará,PA,16958
2026,Estado,Região Norte,Rondônia,RO,3633
2026,Estado,Região Norte,Roraima,RR,1034
2026,Estado,Região Norte,Tocantins,TO,3394
2026,Estado,Região Sudeste,Espírito Santo,ES,9086
2026,Estado,Região Sudeste,Minas Gerais,MG,49753
2026,Estado,Região Sudeste,Rio de Janeiro,RJ,48286
2026,Estado,Região Sudeste,São Paulo,SP,114271
2026,Estado,Região Sul,Paraná,PR,30124
2026,Estado,Região Sul,Rio Grande do Sul,RS,30211
2026,Estado,Região Sul,Santa Catarina,SC,17392
2026,Regiao,Região Centro-Oeste,,,35649
2026,Regiao,Região Nordeste,,,136922
2026,Regiao,Região Norte,,,34837
2026,Regiao,Região Sudeste,,,221396
2026,Regiao,Região Sul,,,77727
