ano,dimensao,nivel,regiao,uf,sigla,Cap I,Cap II,Cap III,Cap IV,Cap V,Cap VI,Cap VII,Cap VIII,Cap IX,Cap X,Cap XI,Cap XII,Cap XIII,Cap XIV,Cap XV,Cap XVI,Cap XVII,Cap XVIII,Cap XX,Total,Cap XIX,Cap XXII
2019,capitulo_cid10,Estado,Região Centro-Oeste,Goiás,GO,1833,6874,198,2439,426,1357,1,9,10752,5189,2342,139,173,1384,71,706,475,828,5829,41025,0,0
2019,capitulo_cid10,Estado,Região Centro-Oeste,Distrito Federal,DF,655,2855,69,682,301,588,0,2,3132,1254,773,28,78,270,9,215,151,266,1476,12804,0,0
2020,capitulo_cid10,Regiao,Região Norte,,,24113,11777,510,6843,630,1901,3,14,20353,10427,3682,299,330,2171,310,2508,1036,8612,13495,109014,0,0
2020,capitulo_cid10,Estado,Região Norte,Rondônia,RO,2212,1343,42,668,62,229,0,2,2046,711,362,17,21,262,19,196,94,614,1378,10278,0,0
2020,capitulo_cid10,Estado,Região Norte,Acre,AC,1006,539,34,226,21,60,2,0,771,488,163,2,15,88,5,125,57,662,596,4860,0,0
2020,capitulo_cid10,Estado,Região Norte,Amazonas,AM,6972,2637,110,1502,94,372,0,6,3565,1747,749,53,89,427,78,550,305,2777,2732,24765,0,0
2020,capitulo_cid10,Estado,Região Norte,Roraima,RR,959,406,22,168,10,55,0,2,601,225,134,13,17,49,20,129,44,125,601,3580,0,0
2020,capitulo_cid10,Estado,Região Norte,Pará,PA,10184,5238,258,3324,275,911,0,2,10206,6260,1717,177,156,1083,155,1211,396,3999,6091,51643,0,0
2020,capitulo_cid10,Estado,Região Norte,Amapá,AP,1292,507,13,242,32,83,0,0,765,329,160,6,10,76,15,157,62,191,677,4617,0,0
2020,capitulo_cid10,Estado,Região Norte,Tocantins,TO,1488,1107,31,713,136,191,1,2,2399,667,397,31,22,186,18,140,78,244,1420,9271,0,0
2020,capitulo_cid10,Regiao,Região Nordeste,,,69227,51705,1888,29343,5345,9497,10,54,96649,35431,17897,2163,1662,9539,699,6159,2807,27252,48592,415919,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Maranhão,MA,6733,4426,223,3613,391,701,1,10,11318,4204,1884,181,122,867,101,913,340,2252,4991,43271,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Piauí,PI,3566,2687,110,1589,265,561,0,1,6728,2071,1055,119,78,444,47,342,192,1313,2478,23646,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Ceará,CE,14149,9509,289,3233,909,2009,1,13,14955,6553,2795,409,319,1333,132,872,408,2953,8671,69512,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Rio Grande do Norte,RN,3966,3620,128,1720,262,638,0,7,6037,2179,1105,142,205,611,34,315,167,808,2730,24674,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Paraíba,PB,4660,4121,117,2521,287,779,0,4,7606,2991,1349,148,93,924,56,425,197,1853,2976,31107,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Pernambuco,PE,14119,9230,296,5848,1255,1875,5,6,16705,7598,3371,415,325,2110,99,902,499,3263,8653,76574,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Alagoas,AL,4543,2522,76,2113,266,357,1,3,6041,1670,1168,98,102,424,40,357,163,1496,2708,24148,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Sergipe,SE,2870,1892,58,979,363,382,0,3,3156,1129,638,120,44,392,33,307,128,1289,2010,15793,0,0
2020,capitulo_cid10,Estado,Região Nordeste,Bahia,BA,14621,13698,591,7727,1347,2195,2,7,24103,7036,4532,531,374,2434,157,1726,713,12025,13375,107194,0,0
